Rank,Tier,Player,Team,Bye,ADP,SOS
1,1,Josh Allen,BUF,7,20,6
2,2,Lamar Jackson,BAL,13,37,6
3,3,Drake Maye,NE,11,59,8
4,3,Caleb Williams,CHI,10,76,6
5,3,Jalen Hurts,PHI,10,74,2
6,3,Joe Burrow,CIN,6,57,6
7,3,Jayden Daniels,WAS,7,67,8
8,4,Jaxson Dart,NYG,8,93,4
9,4,Trevor Lawrence,JAX,7,90,4
10,4,Justin Herbert,LAC,7,88,8
11,5,Jared Goff,DET,6,121,2
12,5,Dak Prescott,DAL,14,91,8
13,5,Matthew Stafford,LAR,11,100,6
14,5,Bo Nix,DEN,10,117,6
15,5,Patrick Mahomes,KC,5,110,8
16,5,Brock Purdy,SF,8,107,10
17,6,Baker Mayfield,TB,10,144,8
18,6,Jordan Love,GB,11,135,4
19,6,Malik Willis,MIA,6,149,6
20,6,Cam Ward,TEN,9,190,6
21,7,C.J. Stroud,HOU,8,173,4
22,7,Tyler Shough,NO,8,139,6
23,7,Sam Darnold,SEA,11,199,4
24,7,Kyler Murray,MIN,6,141,2
25,7,Daniel Jones,IND,13,191,4
26,8,Jacoby Brissett,ARI,14,211,8
27,8,Aaron Rodgers,PIT,9,219,8
28,8,Bryce Young,CAR,5,202,8
29,9,Fernando Mendoza,LV,13,216,10
30,9,Tua Tagovailoa,ATL,11,223,4
31,9,J.J. McCarthy,MIN,6,259,2
32,9,Geno Smith,NYJ,13,341,4
33,9,Shedeur Sanders,CLE,11,255,4
34,9,Michael Penix Jr.,ATL,11,260,4
35,10,Kirk Cousins,LV,13,482,10
36,10,Deshaun Watson,CLE,11,355,4
37,10,Mac Jones,SF,8,316,10
38,10,Carson Beck,ARI,14,511,8
39,10,Justin Fields,KC,5,313,8
40,10,Trey Lance,LAC,7,315,8
