CPT,FLEX_1,FLEX_2,FLEX_3,FLEX_4,FLEX_5,Total_Salary,Mike_PPR_Score
Jayden Reed,Bijan Robinson,Jordan Love,Packers DST,Romeo Doubs,Younghoe Koo,49500.0,99.15
Bijan Robinson,Brayden Narveson,Drake London,Josh Jacobs,Packers DST,Tucker Kraft,49500.0,99.9
Packers DST,Bijan Robinson,Drake London,Jayden Reed,Jordan Love,Younghoe Koo,49400.0,102.65
Bijan Robinson,Brayden Narveson,Darnell Mooney,Jayden Reed,Michael Penix Jr.,Packers DST,49500.0,100.7
Josh Jacobs,Drake London,Jayden Reed,Michael Penix Jr.,Packers DST,Ray-Ray McCloud,49400.0,96.45
Packers DST,Bijan Robinson,Brayden Narveson,Drake London,Jayden Reed,Josh Jacobs,49400.0,102.85
Jayden Reed,Bijan Robinson,Brayden Narveson,Christian Watson,Drake London,Packers DST,49100.0,99.65
Bijan Robinson,Brayden Narveson,Drake London,Jayden Reed,Kyle Pitts,Packers DST,49500.0,102.0
Bijan Robinson,Christian Watson,Drake London,Jayden Reed,Packers DST,Ray-Ray McCloud,48900.0,98.5
Bijan Robinson,Drake London,Josh Jacobs,Kyle Pitts,Packers DST,Ray-Ray McCloud,49500.0,98.6
Jordan Love,Bijan Robinson,Brayden Narveson,Drake London,Packers DST,Tucker Kraft,49600.0,99.0
Packers DST,Brayden Narveson,Jayden Reed,Jordan Love,Josh Jacobs,Michael Penix Jr.,49200.0,98.45
Younghoe Koo,Jayden Reed,Jordan Love,Josh Jacobs,Michael Penix Jr.,Packers DST,49000.0,96.1
Younghoe Koo,Bijan Robinson,Jayden Reed,Josh Jacobs,Michael Penix Jr.,Packers DST,49600.0,100.1
Josh Jacobs,Bijan Robinson,Brayden Narveson,Darnell Mooney,Jayden Reed,Packers DST,49600.0,99.05
Drake London,Bijan Robinson,Brayden Narveson,Christian Watson,Jayden Reed,Packers DST,49300.0,99.7
Bijan Robinson,Brayden Narveson,Darnell Mooney,Drake London,Jayden Reed,Packers DST,49100.0,101.1
Bijan Robinson,Brayden Narveson,Jayden Reed,Jordan Love,Packers DST,Tucker Kraft,49500.0,100.9
Jordan Love,Bijan Robinson,Brayden Narveson,Jayden Reed,Packers DST,Tucker Kraft,49200.0,98.9
Josh Jacobs,Bijan Robinson,Darnell Mooney,Jayden Reed,Packers DST,Younghoe Koo,49200.0,97.75
Younghoe Koo,Bijan Robinson,Drake London,Jayden Reed,Jordan Love,Packers DST,49600.0,101.6
Jayden Reed,Bijan Robinson,Brayden Narveson,Darnell Mooney,Jordan Love,Packers DST,49300.0,99.85
Packers DST,Bijan Robinson,Christian Watson,Jordan Love,Josh Jacobs,Younghoe Koo,49200.0,97.25
Bijan Robinson,Drake London,Jordan Love,Packers DST,Tucker Kraft,Younghoe Koo,49500.0,99.7
Bijan Robinson,Jayden Reed,Kyle Pitts,Michael Penix Jr.,Packers DST,Younghoe Koo,49500.0,100.3
Drake London,Bijan Robinson,Falcons DST,Jayden Reed,Michael Penix Jr.,Ray-Ray McCloud,49500.0,98.8
Bijan Robinson,Drake London,Jayden Reed,Packers DST,Romeo Doubs,Younghoe Koo,49300.0,100.4
Jayden Reed,Bijan Robinson,Christian Watson,Drake London,Packers DST,Younghoe Koo,48700.0,98.35
Josh Jacobs,Bijan Robinson,Darnell Mooney,Drake London,Packers DST,Younghoe Koo,49600.0,97.85
Packers DST,Bijan Robinson,Drake London,Jordan Love,Michael Penix Jr.,Ray-Ray McCloud,49200.0,99.65
