id,canonical_id,player_name,sportsbook,stat_category,line,over_odds,under_odds,week,timestamp
1,jahmyr_gibbs_det_rb,Jahmyr Gibbs,DraftKings,REC_YDS,29.5,-114,-106,2,2026-09-17 16:53:36
2,jahmyr_gibbs_det_rb,J. Gibbs,bet365,REC_YDS,29.5,-114,-105,2,2026-09-17 16:53:36
3,dalton_kincaid_buf_te,Dalton Kincaid,Fanatics,RECEPTIONS,4.5,140,-160,2,2026-09-17 16:53:36
4,dalton_kincaid_buf_te,D. Kincaid,FanDuel,ANYTIME_TD,0.5,175,-200,2,2026-09-17 16:53:36
5,amon_ra_st_brown_det_wr,Amon-Ra St. Brown,FanDuel,ANYTIME_TD,0.5,110,-130,2,2026-09-17 16:53:36
6,josh_allen_buf_qb,Josh Allen,DraftKings,ANYTIME_TD,0.5,-135,110,2,2026-09-17 16:53:36
7,jared_goff_det_qb,Jared Goff,Caesars,PASS_COMP,23.5,-107,-107,2,2026-09-17 16:53:36
8,jared_goff_det_qb,J. Goff,DraftKings,PASS_COMP,23.5,104,-120,2,2026-09-17 16:53:36
9,jahmyr_gibbs_det_rb,Jahmyr Gibbs,DraftKings,REC_YDS,29.5,-114,-106,2,2026-09-17 17:06:21
10,jahmyr_gibbs_det_rb,J. Gibbs,bet365,REC_YDS,29.5,-114,-105,2,2026-09-17 17:06:21
11,dalton_kincaid_buf_te,Dalton Kincaid,Fanatics,RECEPTIONS,4.5,140,-160,2,2026-09-17 17:06:21
12,dalton_kincaid_buf_te,D. Kincaid,FanDuel,ANYTIME_TD,0.5,175,-200,2,2026-09-17 17:06:21
13,amon_ra_st_brown_det_wr,Amon-Ra St. Brown,FanDuel,ANYTIME_TD,0.5,110,-130,2,2026-09-17 17:06:21
14,josh_allen_buf_qb,Josh Allen,DraftKings,ANYTIME_TD,0.5,-135,110,2,2026-09-17 17:06:21
15,jared_goff_det_qb,Jared Goff,Caesars,PASS_COMP,23.5,-107,-107,2,2026-09-17 17:06:21
16,jared_goff_det_qb,J. Goff,DraftKings,PASS_COMP,23.5,104,-120,2,2026-09-17 17:06:21
